Z,N,BE_exp,BE_misr,BE_pymisr,misr_residuals,pymisr_residuals
12,23,257.46,259.5214171879348,259.5510366114468,2.0614171879348078,2.091036611446839
12,26,263.264,261.6726607149231,265.4912635198765,-1.5913392850769128,2.2272635198764874
12,26,263.264,261.6726607149231,265.4912635198765,-1.5913392850769128,2.2272635198764874
12,26,263.264,261.6726607149231,265.4912635198765,-1.5913392850769128,2.2272635198764874
12,26,263.264,261.6726607149231,265.4912635198765,-1.5913392850769128,2.2272635198764874
12,25,261.035,261.38370864034795,263.9456469552453,0.3487086403479225,2.9106469552452836
12,25,261.035,261.38370864034795,263.9456469552453,0.3487086403479225,2.9106469552452836
12,25,261.035,261.38370864034795,263.9456469552453,0.3487086403479225,2.9106469552452836
12,25,261.035,261.38370864034795,263.9456469552453,0.3487086403479225,2.9106469552452836
12,28,263.92,261.1436808901942,267.41470676756927,-2.7763191098057973,3.494706767569255
12,28,263.92,261.1436808901942,267.41470676756927,-2.7763191098057973,3.494706767569255
12,28,263.92,261.1436808901942,267.41470676756927,-2.7763191098057973,3.494706767569255
12,28,263.92,261.1436808901942,267.41470676756927,-2.7763191098057973,3.494706767569255
12,9,149.20563,154.6372962994774,151.66779409464056,5.431666299477399,2.462164094640542
12,9,149.20563,154.6372962994774,151.66779409464056,5.431666299477399,2.462164094640542
12,9,149.20563,154.6372962994774,151.66779409464056,5.431666299477399,2.462164094640542
13,9,149.204,152.65115974897085,154.11299561298958,3.447159748970847,4.908995612989571
13,9,149.204,152.65115974897085,154.11299561298958,3.447159748970847,4.908995612989571
13,9,149.204,152.65115974897085,154.11299561298958,3.447159748970847,4.908995612989571
13,9,149.204,152.65115974897085,154.11299561298958,3.447159748970847,4.908995612989571
13,22,272.5492,276.99717863103496,274.3594534800565,4.447978631034971,1.8102534800565309
13,22,272.5492,276.99717863103496,274.3594534800565,4.447978631034971,1.8102534800565309
13,22,272.5492,276.99717863103496,274.3594534800565,4.447978631034971,1.8102534800565309
13,20,264.68046,269.4348258698764,264.9992666529887,4.7543658698764375,0.31880665298871236
13,20,264.68046,269.4348258698764,264.9992666529887,4.7543658698764375,0.31880665298871236
13,21,267.25190000000003,273.5441073814099,269.97627048587253,6.292207381409867,2.724370485872498
13,11,183.589944,188.17674379760894,184.31699777455768,4.586799797608933,0.7270537745576746
13,11,183.589944,188.17674379760894,184.31699777455768,4.586799797608933,0.7270537745576746
13,11,183.589944,188.17674379760894,184.31699777455768,4.586799797608933,0.7270537745576746
13,11,183.589944,188.17674379760894,184.31699777455768,4.586799797608933,0.7270537745576746
13,11,183.589944,188.17674379760894,184.31699777455768,4.586799797608933,0.7270537745576746
13,11,183.589944,188.17674379760894,184.31699777455768,4.586799797608933,0.7270537745576746
13,12,200.528425,202.69386502432837,197.34020324522425,2.165440024328376,-3.1882217547757534
13,10,168.721744,171.6083527253103,169.9525415663455,2.8866087253103103,1.230797566345501
13,10,168.721744,171.6083527253103,169.9525415663455,2.8866087253103103,1.230797566345501
13,15,232.6771132,236.40550078497634,229.47803690295262,3.728387584976332,-3.199076297047384
13,16,242.105485,244.982699328454,238.19175615123115,2.8772143284540164,-3.913728848768841
13,13,211.89389,215.42999999999998,209.140280859894,3.5361099999999794,-2.7536091401059934
13,13,211.89389,215.42999999999998,209.140280859894,3.5361099999999794,-2.7536091401059934
13,14,224.9519391,226.6060553207476,219.82187842920905,1.6541162207475963,-5.130060670790954
13,19,259.21088000000003,264.6038460144344,259.3839766982411,5.392966014434364,0.17309669824106777
13,19,259.21088000000003,264.6038460144344,259.3839766982411,5.392966014434364,0.17309669824106777
13,17,247.83300000000003,252.46892395029718,246.03731393352334,4.635923950297155,-1.7956860664766907
13,18,254.99112000000005,258.97682828647874,253.08138228249265,3.9857082864786832,-1.9097377175073973
13,18,254.99112000000005,258.97682828647874,253.08138228249265,3.9857082864786832,-1.9097377175073973
14,30,314.864,311.72101861446816,314.9682790059663,-3.1429813855318116,0.1042790059663048
14,30,314.864,311.72101861446816,314.9682790059663,-3.1429813855318116,0.1042790059663048
14,30,314.864,311.72101861446816,314.9682790059663,-3.1429813855318116,0.1042790059663048
14,30,314.864,311.72101861446816,314.9682790059663,-3.1429813855318116,0.1042790059663048
14,12,206.042408,204.8330133196231,202.57821133011015,-1.209394680376903,-3.4641966698898443
14,13,219.357234,219.29471768707484,215.63540109401347,-0.0625163129251689,-3.721832905986531
14,10,172.0128,170.08679697423295,172.5592110752863,-1.926003025767045,0.5464110752863007
14,10,172.0128,170.08679697423295,172.5592110752863,-1.926003025767045,0.5464110752863007
